primary_type,subtype,lat,lon,name,amenity,building,access,leisure,fee,parking
work,work,52.2252927,21.0155689,Bankowy Fundusz Gwarancyjny,,office,,,,
work,work,52.1777907,20.8253852,,,,,,,
work,work,52.1750354,20.7499243,Park MLP Pruszków II,,,,,,
work,work,52.2435019,21.0185584,Biuro Bezpieczeństwa Narodowego,,apartments,,,,
work,work,52.1400437,20.7153473,Urząd Gminy Brwinów,townhall,townhall,,,,
work,work,52.1392548,20.7197883,Urząd Gminy Brwinów – II budynek,,townhall,,,,
work,work,52.2100873,20.8113595,,,,,,,
work,work,52.2288101,20.9505903,,,,,,,
work,work,52.2508528,21.1002969,Technokabel S.A.,,office,,,,
work,work,52.1925085,20.959627,Urząd Dzielnicy Włochy,townhall,government,,,,
work,work,52.1891953,20.9414636,,,,,,,
work,work,52.1920682,20.9330451,Spółdzielnia Piekarsko-Ciastkarska (Biuro Zarządu),,,,,,
work,work,52.1933994,20.9352569,,,,,,,
work,work,52.1928447,20.9426333,,,,,,,
work,work,52.1702154,20.9316433,,,,,,,
work,work,52.2528186,21.0943652,,,,,,,
work,work,52.218485,21.0089551,Instytut Techniki Budowlanej,,yes,,,,
work,work,52.2188851,20.8877208,,,,,,,
work,work,52.213546,20.893573,,,,,,,
work,work,52.247356,21.0057696,Biuro Rzecznika Praw Obywatelskich,,public,,,,
work,work,52.2432269,21.0089155,Urząd Miasta Stołecznego Warszawy,,government,,,,
work,work,52.2431641,21.0082283,Urząd Miasta Stołecznego Warszawy,,government,,,,
work,work,52.2253636,21.0606865,MPWiK Zakład Wodociągów Praskich,,,,,,
work,work,52.2224374,21.0592866,Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji,,,,,,
work,work,52.1886023,21.00255,,,,,,,
work,work,52.1998917,20.9436282,,,,,,,
work,work,52.1985222,20.9415517,,,,,,,
work,work,52.196142,20.9435969,,,,,,,
work,work,52.1964293,20.9427307,,,,,,,
work,work,52.2006155,20.9461089,,,,,,,
work,work,52.2357239,20.9640671,,,,,,,
work,work,52.2281817,20.9650279,Gazownia Warszawska,,,,,,
work,work,52.2226854,20.9383133,,,,,,,
work,work,52.1697739,20.8590669,,,,,,,
work,work,52.2452101,21.0662957,Perun,,,,,,
work,work,52.2522531,21.0666673,,,,,,,
work,work,52.2485282,21.0524013,Spółdzielnia Piekarsko Ciastkarska,,,,,,
work,work,52.2660714,21.1209304,Pebeka,,,,,,
work,work,52.2625998,21.1241059,PGNiG Termika Oddział Ciepłownia Kawęczyn,,,,,,
work,work,52.2688473,21.1183527,,,,,,,
work,work,52.2533504,21.0357121,Główny Inspektorat Sanitarny,,office,,,,
work,work,52.2528572,21.0333777,Zakład Gospodarowania Nieruchomościami,,office,,,,
work,work,52.2369857,21.1172622,,,,,,,
work,work,52.244463,21.0238989,Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji,,,,,,
work,work,52.2807883,20.961703,Instytut Meteorologii i Gospodarki Wodnej,,yes,,,,
work,work,52.2541949,21.0234063,,,yes,,,,
work,work,52.0796492,21.035234,,,,,,,
work,work,52.4466891,20.7744323,,,,,,,
work,work,52.4250782,20.7549437,Reckitt Benckiser Poland S.A.,,,,,,
work,work,52.4282884,20.7479777,,,,,,,
work,work,52.2508937,21.1011981,,,,,,,
work,work,52.189938,21.0099283,"ZGN Dom ""Wierzbno""",,office,,,,
work,work,52.0481118,21.0061186,POLAQUA Sp. z o.o.,,,,,,
work,work,52.0881706,21.0152863,,,,,,,
work,work,52.2199298,21.0510125,,,,,,,
work,work,52.2375639,21.0124846,Okręg Warszawski Związku Polskich Artystów Plastyków,,apartments,,,,
work,work,52.2376597,21.0147493,,,office,,,,
work,work,52.2172083,20.9909379,Ministerstwo Środowiska,,government,,,,
work,work,52.2180208,21.096616,Przepompownia Bluszcze,,,,,,
work,work,52.2478158,21.0682628,,,yes,,,,
work,work,52.2497743,21.0695799,Wydawnictwo Didasko,publisher,office,,,,
work,work,52.0857238,21.0245337,Hoya Lens Poland,,,,,,
work,work,52.1644463,21.0824564,Urząd Dzielnicy Wilanów,townhall,office,,,,
work,work,52.1811609,21.0888635,,,,,,,
work,work,52.2032926,20.9782133,Prokuratura Rejonowa Warszawa-Ochota,,office,,,,
work,work,52.2758597,20.9476652,Urząd Dzielnicy Bielany,townhall,yes,,,,
work,work,52.2189404,21.0282417,Instytut Teatralny,,civic,,,,
work,work,52.268791,20.9683668,Oddział Remontów Taboru MZA Warszawa,,,,,,
work,work,52.2655135,20.9285131,Wojewódzki Ośrodek Ruchu Drogowego w Warszawie,,yes,,,,
work,work,52.2621137,20.9475912,,,,,,,
work,work,52.2525244,20.9552226,Tramwaje Warszawskie Zakład Energetyki Trakcyjnej i Torów - T1,,,,,,
work,work,52.2472907,20.9593325,Miejskie Przedsiębiorstwo Oczyszczania,,,,,,
work,work,52.2553232,20.9706523,Miejskie Przedsiębiorstwo Oczyszczania,,,,,,
work,work,52.246845,21.0413235,,,,,,,
work,work,52.2497395,21.0372471,Prokuratura Rejonowa Warszawa-Praga Północ,,office,,,,
work,work,52.3779033,20.9173506,Urząd Gminy Jabłonna,,yes,,,,
work,work,52.2449622,21.0106951,Ministerstwo Sportu i Turystyki,,yes,,,,
work,work,52.2602366,20.9825837,Administracja osiedla WSM Żoliborz II,,office,,,,
work,work,52.2550116,21.1087011,,,,,,,
work,work,52.2501801,21.1152188,EUMed Sp. z o. o.,,farm_auxiliary,,,,
work,work,52.2530496,21.1137798,,,,,,,
work,work,52.2594343,21.1249405,,,,,,,
work,work,52.389087,21.1478705,,,,,,,
work,work,52.3866508,21.1466168,,,,,,,
work,work,52.1068664,20.8260336,Centrum Logistyczne Tulipan Park Warszawa,,,,,,
work,work,52.1020846,20.8185611,,,,,,,
work,work,52.0885544,20.8792321,,,,,,,
work,work,52.0780259,20.8770075,Centrum Biznesu Stolica,,,,,,
work,work,52.0682421,20.9584039,,,,,,,
work,work,52.0909449,20.8801171,,,,,,,
work,work,52.078775,20.8755178,Vaillant Komis samochodowy,,,,,,
work,work,52.0771966,20.8765821,,,,,,,
work,work,52.2205085,21.001268,Resortowe Centrum Zarządzania Projektami Informatycznymi,,office,,,,
work,work,52.2832033,20.9135612,Instytut Technologii Materiałów Elektronicznych,,,,,,
work,work,52.2905236,20.8985263,BYŚ Warszawa,,,,,,
work,work,52.2818532,20.8796132,Zakład Unieszkodliwiania Odpadów Kampinoska,,,,,,
work,work,52.2822422,20.877819,,,,,,,
work,work,52.2572982,20.9610068,Centrala ZUS,,,,,,
work,work,52.2864737,20.9062166,,,,,,,
work,work,52.2464214,20.9870648,SM Miła,,offices,,,,
work,work,52.3036822,21.0352631,ROD Ugory,,,,,,
work,work,52.3044187,21.0402897,ROD Ugory,,,,,,
work,work,52.0730798,21.0283179,Biuro Promocji i Kultury,,government,,,,
work,work,52.0720382,21.0381866,,,,,,,
work,work,52.0671009,21.0365966,,,,,,,
work,work,52.0686163,21.0364533,,,,,,,
work,work,52.0663634,21.0367465,,,,,,,
work,work,52.0696124,21.0361995,,,,,,,
work,work,52.0693733,21.0428792,,,,,,,
work,work,52.0742641,21.0364545,,,,,,,
work,work,52.2825411,20.9506263,ZGN Bielany,,office,,,,
work,work,52.1084816,20.8096859,,,,,,,
work,work,52.2770348,20.9519309,Apreel,,apartments,,,,
work,work,52.1121171,21.1102363,Polskie Sieci Elektroenergetyczne,,,,,,
work,work,52.2218009,21.0149847,Instytut Matematyczny PAN,,office,,,,
work,work,52.1644928,21.0234599,Pompownia Wodociągowa Ursynów P2,,,,,,
work,work,52.0818951,21.0184305,,,,,,,
work,work,52.1430683,20.8922992,Diamond Business Park Janki,,,,,,
work,work,52.2414802,21.0618834,"Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji, Stacja P. K. ""Saska Kępa II""",,,,,,
work,work,52.2401873,21.0607967,"Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji, Stacja P. K. ""Saska Kępa""",,,,,,
work,work,52.1385116,21.1341766,,,,,,,
work,work,52.3293555,21.0000321,Stacja Strefowa Wodociągu Północnego,,,,,,
work,work,52.3347437,21.0047278,,,,,,,
work,work,52.3326731,21.0135616,,,,,,,
work,work,52.3682159,21.0256021,Tłocznia Gazu Rembelszczyzna,,,,,,
work,work,52.3116371,20.9817406,Polfa Tarchomin S.A.,,,,,,
work,work,52.315712,21.0085912,,,,,,,
work,work,52.3194655,21.0124103,,,,,,,
work,work,52.3108888,21.0096069,,,,,,,
work,work,52.315368,21.0138904,,,,,,,
work,work,52.3100634,21.0150076,,,,,,,
work,work,52.3135442,21.0097937,,,,,,,
work,work,52.3065096,21.0123209,,,,,,,
work,work,52.3094123,21.0059596,,,,,,,
work,work,52.3129853,21.0052439,Warszawskie Przedsiębiorstwo Mostowe Mosty Sp. z o.o.,,,,,,
work,work,52.3022339,21.0146659,,,,,,,
work,work,52.2506032,20.9751261,Zakład Cieczy Roboczych ITWL,,,,,,
work,work,52.14796,20.8495097,,,,,,,
work,work,52.1989386,21.0415925,Wytwórnia Filmów Dokumentalnych i Fabularnych,,,,,,
work,work,52.1626183,20.8125721,Urząd Miasta Pruszkowa,townhall,townhall,,,,
work,work,52.1624177,20.8111901,Plebania,,presbytery,,,,
work,work,52.1632006,20.80173,Starostwo Powiatu Pruszkowskiego,townhall,townhall,,,,
work,work,52.1683384,20.9248738,,,,,,,
work,work,52.2513615,21.0471107,Ośrodek Dokumentacji Geodezyjne PKP,,yes,,,,
work,work,52.2513168,21.0469689,TK Telekom Sp. z. o.o.,,commercial,,,,
work,work,52.2046389,21.0379234,OMiG,,,,,,
work,work,52.3438817,20.9540182,Balton Sp. z o.o.,,,,,,
work,work,52.3362879,20.9105911,Oczyszczalnia ścieków,,,,,,
work,work,52.3537766,20.9039786,,,,,,,
work,work,52.34533,20.8634168,,,,,,,
work,work,52.351603,20.8498312,,,,,,,
work,work,52.3459123,20.8651368,,,,,,,
work,work,52.3526358,20.8487856,,,,,,,
work,work,52.2961032,20.7848186,"Gminna Oczyszczalnia Ścieków ""Mokre Łąki""",,,,,,
work,work,52.3690246,21.1295109,,,,,,,
work,work,52.1075912,21.112254,Klinkier-Bud,,retail,,,,
work,work,52.0895038,21.1097503,PGE Dystrybucja,,,,,,
work,work,52.2082584,21.0145288,Urząd Dzielnicy Mokotów,townhall,government,,,,
work,work,52.1260114,21.0119806,Reichle & De-Massari,,office,,,,
work,work,52.1625031,21.1978936,,,,,,,
work,work,52.2493252,21.2468025,,,,,,,
work,work,52.2641912,20.9689475,Fundacja Perpetuum Mobile,,yes,,,,
work,work,52.1919277,20.974562,Urząd Statystyczny w Warszawie,statistics,public,,,,
work,work,52.2813639,20.9768422,"Spółdzielnia Budowlano-Mieszkaniowa ""Ruda""",,public,,,,
work,work,52.163455,21.0517376,Państwowa Straż Łowiecka,,yes,,,,
work,work,52.2032165,21.0143314,V Wydział Rejestracji Stanu Cywilnego,,public,,,,
work,work,52.2041238,21.0152492,Wydawnictwa Komunikacji i Łączności,,apartments,,,,
work,work,52.2024,20.8750535,"Stacja elektroenergetyczna ""Ursus GSZ-2"" 110/15kV",,,,,,
work,work,52.1729893,20.8433678,,,,,,,
work,work,52.197878,20.9189318,"Zajezdnia autobusowa MZA R-2 ""Kleszczowa""",,,,,,
work,work,52.2986966,20.8210091,Dyrekcja Kampinoskiego Parku Narodowego,,yes,,,,
work,work,52.2342971,20.9741185,Zajezdnia Wola,,,,,,
work,work,52.1885032,20.995502,"Zajezdnia autobusowa R-1 ""Woronicza""",,,,,,
work,work,52.3000331,20.9329819,"Zakład Realizacji Przewozów ""Żoliborz""",,,,,,
work,work,52.2438615,20.9742076,Fundacja Nissenbaumów,,office,,,,
work,work,52.2915022,21.0490433,Urząd Dzielnicy Targówek,townhall,public,,,,
work,work,52.2971562,21.0545903,Przepompownia wód deszczowych,,,,,,
work,work,52.1742165,20.8123983,Nilfisk Polska sp. z o.o.,,office,,,,
work,work,52.1624778,20.7668609,,,,,,,
work,work,52.2623151,21.0301561,Urząd Skarbowy Warszawa-Targówek,,yes,,,,
work,work,52.1639589,20.8741934,Panek – Kominy kwasoodporne,,,,,,
work,work,52.1445926,20.8629351,,,,,,,
work,work,52.2624461,21.02433,Zarząd Praskich Terenów Publicznych,,yes,,,,
work,work,52.1539771,20.9250766,Urząd Gminy Raszyn,townhall,townhall,,,,
work,work,52.1651354,20.9960483,Urząd do Spraw Cudzoziemców,,office,,,,
work,work,52.2175415,20.8579394,,,,,,,
work,work,52.21707,20.8598805,,,,,,,
work,work,52.2233171,20.860437,,,,,,,
work,work,52.255216,21.0481597,Urząd Rejestracji Produktów Leczniczych,,office,,,,
work,work,52.1262065,20.9906474,Logmaster - Oddział Warszawa,,warehouse,,,,
work,work,52.1262672,20.9899279,Eclipse S.A.,,warehouse,,,,
work,work,52.2211954,21.018074,Instytut Adama Mickiewicza,,office,,,,
work,work,52.156195,20.9941286,Warner Music Poland,,office,,,,
work,work,52.2523078,21.0340888,Kuria Warszawsko-Praska,,yes,,,,
work,work,52.2522257,21.0318085,Departament Geodezji i Kartografii Urzędu Marszałkowskiego Województwa Mazowieckiego,,office,,,,
work,work,52.2489927,21.0281598,Urząd Stanu Cywilnego Warszawa Praga-Północ,,yes,,,,
work,work,52.1646063,20.9946677,,,,,,,
work,work,52.1610006,20.9897285,,,,,,,
work,work,52.1603376,20.9991988,,,,,,,
work,work,52.3266345,20.9688942,Prosper,,,,,,
work,work,52.2014852,20.91496,Urząd Marszałkowski Województwa Mazowieckiego Archiwum Zakładowe,archive,government,,,,
work,work,52.2359458,20.9818856,Urząd Regulacji Energetyki,,office,,,,
work,work,52.2032036,20.9457335,,,,,,,
work,work,52.333662,20.9696613,,,,,,,
work,work,52.3893914,20.7359172,,,,,,,
work,work,52.3878291,20.7367005,,,,,,,
work,work,52.3886018,20.7364639,,,,,,,
work,work,52.3965444,20.7177449,PRODMAL,,,,,,
work,work,52.3594219,20.8587036,,,,,,,
work,work,52.334022,20.9057686,,,,,,,
work,work,52.3320671,20.9075776,,,,,,,
work,work,52.3612995,21.2579229,,,,,,,
work,work,52.3550897,21.2662023,Elektrociepłownia ZEC Wołomin,,,,,,
work,work,52.3618747,21.2608096,,,,,,,
work,work,52.3619114,21.2516247,,,,,,,
work,work,52.3605672,21.2470241,,,,,,,
work,work,52.3695172,21.2470221,,,,,,,
work,work,52.3428761,21.2265133,,,,,,,
work,work,52.3500704,21.2375932,,,,,,,
work,work,52.3807123,21.2140295,,,,,,,
work,work,52.3790456,21.1812024,,,,,,,
work,work,52.366871,21.2342166,,,,,,,
work,work,52.3623941,21.2910002,,,,,,,
work,work,52.3633917,21.2936091,,,,,,,
work,work,52.3669612,21.2227232,,,,,,,
work,work,52.3639662,21.2234811,,,,,,,
work,work,52.3646861,21.2244192,,,,,,,
work,work,52.2598441,21.0513753,,,,,,,
work,work,52.3493635,21.2061374,,,,,,,
work,work,52.335649,21.1947511,,,,,,,
work,work,52.3439628,21.1921469,,,,,,,
work,work,52.3373255,21.1758995,,,,,,,
work,work,52.3431663,21.1858087,,,,,,,
work,work,52.3475405,21.1801881,PIT-RADWAR,,,,,,
work,work,52.3322229,21.1615062,,,,,,,
work,work,52.3468635,21.1641593,,,,,,,
work,work,52.3471379,21.1677937,,,,,,,
work,work,52.3212914,21.1641956,,,,,,,
work,work,52.3215848,21.1612445,Wienerberger,,,,,,
work,work,52.326684,21.1734571,,,,,,,
work,work,52.3343738,21.1684815,,,,,,,
work,work,52.3334124,21.1951862,,,,,,,
work,work,52.3569712,21.2701632,,,,,,,
work,work,52.3589783,21.2782305,,,,,,,
work,work,52.3439482,21.2638966,,,,,,,
work,work,52.3414719,21.2675107,,,,,,,
work,work,52.332168,21.2434758,,,,,,,
work,work,52.3174391,21.2351224,,,,,,,
work,work,52.3192249,21.2299271,,,,,,,
work,work,52.319985,21.1657383,,,,,,,
work,work,52.3610968,21.1348799,,,,,,,
work,work,52.3595483,21.1353932,,,,,,,
work,work,52.3125991,21.1372723,,,,,,,
work,work,52.315257,21.120264,,,,,,,
work,work,52.3211503,21.1241925,,,,,,,
work,work,52.3159675,21.1186254,,,,,,,
work,work,52.3147354,21.1214776,,,,,,,
work,work,52.3097119,21.1700587,,,,,,,
work,work,52.3099548,21.1741694,,,,,,,
work,work,52.3163806,21.1973776,,,,,,,
work,work,52.3143814,21.2537532,"Oczyszczalnia ścieków ""Krym""",,,,,,
work,work,52.3849379,20.9255876,,,,,,,
work,work,52.3609861,20.9404325,,,,,,,
work,work,52.3599719,20.945029,,,,,,,
work,work,52.3903786,20.9008753,,,,,,,
work,work,52.1595486,21.1721965,,,,,,,
work,work,52.1418777,21.1960219,,,,,,,
work,work,52.0850594,21.2455103,,,,,,,
work,work,52.0780589,21.2615472,,,,,,,
work,work,52.0983341,21.2427089,RPC BRAMLAGE,,,,,,
work,work,52.0696697,21.2557527,,,,,,,
work,work,52.4271817,21.2766597,OLPP Sp. z o.o. - Baza Paliw nr 5 w Emilianowie,,,,,,
work,work,52.4022676,21.1938372,,,,,,,
work,work,52.4021183,21.196445,,,,,,,
work,work,52.3962197,21.1931311,,,,,,,
work,work,52.3963865,21.2018018,Tago,,,,,,
work,work,52.4304692,21.1557439,,,,,,,
work,work,52.4316859,21.1618599,Coca-Cola HBC Polska Sp. z o.o. - Zakład Produkcyjny Radzymin,,,,,,
work,work,52.3957097,21.1670412,,,,,,,
work,work,52.3924449,21.1708135,,,,,,,
work,work,52.3951489,21.1301792,,,,,,,
work,work,52.4005143,21.1399583,,,,,,,
work,work,52.3342685,20.9785222,Smurfit Kappa Poland,,,,,,
work,work,52.3124511,21.0984088,,,,,,,
work,work,52.3122396,21.0957635,Konsorcjum Stali,,,,,,
work,work,52.3109817,21.0956704,,,,,,,
work,work,52.3318961,21.1014937,,,,,,,
work,work,52.3333389,21.0911603,,,,,,,
work,work,52.4124176,20.7959809,,,,,,,
work,work,52.358973,20.8300291,,,,,,,
work,work,52.3584793,20.8335016,,,,,,,
work,work,52.363375,20.8163065,,,,,,,
work,work,52.3606804,20.8246285,,,,,,,
work,work,52.1005203,21.1462999,Fadromex,,,,,,
work,work,52.0703044,21.1679859,Rolniczy Zakład Doświadczalny Wilanów-Obory,,,,,,
work,work,52.2423724,20.9694611,Centrum Powiadamiania Ratunkowego,,public,,,,
work,work,52.313303,20.9767444,,,,,,,
work,work,52.2216713,21.0221024,Ambasada Serbii,,office,,,,
work,work,52.0823262,21.0052838,Tedex,,warehouse,,,,
work,work,52.07644,21.006131,Raben Polska sp. z o.o.,,warehouse,,,,
work,work,52.0833416,20.9845698,,,,,,,
work,work,52.0830099,20.988915,,,,,,,
work,work,52.2006234,20.7988895,,,,,,,
work,work,52.2510028,20.8531798,,,,,,,
work,work,52.243357,20.8718108,,,,,,,
work,work,52.3308714,20.9548964,Jan Jastrząb - Kamieniarstwo,,,,,,
work,work,52.1708361,20.7986494,"PGE Obrót S.A., Biuro Obsługi Klienta Pruszków",,office,,,,
work,work,52.1723247,20.7991034,,,,,,,
work,work,52.2869369,20.9083873,Firma Piekarz Sp.J.,,,,,,
work,work,52.2502243,21.0085139,Archiwum Główne Akt Dawnych,archive,public,,,,
work,work,52.0547423,20.864637,ASG-PL,,,,,,
work,work,52.4069524,21.1679457,Soraya,,,,,,
work,work,52.2104777,21.0884757,ZBM,,,,,,
work,work,52.4012211,21.1695866,Betonownia BTB,,,,,,
work,work,52.420799,21.1872248,Skład budowlany,,,,,,
work,work,52.428227,21.1503984,,,,,,,
work,work,52.3003087,21.0128251,Morspol,,,,,,
work,work,52.4198143,21.1766839,Powiatowy Urząd Pracy w Wołominie Filia w Radzyminie,,yes,,,,
work,work,52.1810752,20.8433408,Miejski Ośrodek Sportu i Rekreacji w Piastowie,,office,,,,
work,work,52.2063577,21.0051457,Samorządowe Kolegium Odwoławcze,,office,,,,
work,work,52.2068037,21.0135814,Polski Związek Motorowy Zarząd Główny,,office,,,,
work,work,52.2012052,21.0120088,Ambasada Cypru,,detached,,,,
work,work,52.2009517,21.011626,Ambasada Maroka,,yes,,,,
work,work,52.207625,21.0356728,Ambasada Austrii,,office,,,,
work,work,52.3459373,20.9487985,Wpozyczalnia sprzętu budowlanego,,,,,,
work,work,52.2283423,20.9962697,Zarząd Dróg Miejskich,,government,,,,
work,work,52.4267135,20.7202238,Prokuratura Rejonowa,,yes,,,,
work,work,52.4141855,20.7456179,Piwowar,,,,,,
work,work,52.4209895,20.7395588,,,,,,,
work,work,52.1717685,20.8011833,PGNiG Termika S.A. Oddział Elektrociepłownia Pruszków,,,,,,
work,work,52.3054179,21.050843,Spectra Lighting,,yes,,,,
work,work,52.2114462,20.7495903,,,,,,,
work,work,52.2507636,21.0521,"""Koleje Mazowieckie - KM"" sp. z o.o.",,office,,,,
work,work,52.2080296,21.0193056,Biuro Geodezji i Katastru Urzędu m.st. Warszawy,,government,,,,
work,work,52.2068391,20.9803737,Instytut Podstawowych Problemów Techniki PAN,,yes,,,,
work,work,52.1902232,20.6958519,Polmos,,,,,,
work,work,52.3587451,20.8307353,,,,,,,
work,work,52.3117522,20.9941272,,,,,,,
work,work,52.195963,20.6994276,,,,,,,
work,work,52.1997001,20.7043575,,,,,,,
work,work,52.3325098,21.1018902,,,,,,,
work,work,52.2125164,21.0222658,Prokuratura Okręgowa w Warszawie,,office,,,,
work,work,52.3364752,20.8891642,Ravon Manufactura,,yes,,,,
